  time  amplitude  omega  amp_cos  amp_sin
   7.67943E+02   1.41887E-04   3.09631E-01  -1.41428E-04   1.14002E-05
   7.71726E+02   1.52828E-04   2.10903E-01  -1.15158E-04  -1.00474E-04
   7.75509E+02   1.51308E-04   2.98458E-01   4.11842E-05  -1.45595E-04
   7.79292E+02   1.74316E-04   2.79430E-01   1.69400E-04  -4.11055E-05
   7.83075E+02   1.72825E-04   2.85114E-01   1.15287E-04   1.28753E-04
   7.86858E+02   1.69043E-04   3.07497E-01  -7.09272E-05   1.53444E-04
   7.90641E+02   1.63009E-04   3.12180E-01  -1.62858E-04  -7.03240E-06
   7.94424E+02   1.50650E-04   2.80816E-01  -6.75981E-05  -1.34632E-04
   7.98207E+02   1.43942E-04   3.28739E-01   1.01056E-04  -1.02503E-04
   8.01990E+02   1.16380E-04   3.36310E-01   1.03243E-04   5.37156E-05
   8.05773E+02   9.89972E-05   2.40436E-01   1.78685E-05   9.73713E-05
   8.09556E+02   8.44748E-05   3.63268E-01  -7.85095E-05   3.11808E-05
   8.13339E+02   7.41657E-05   2.73956E-01  -5.86669E-05  -4.53734E-05
   8.17122E+02   7.00013E-05   3.67099E-01   3.20916E-05  -6.22119E-05
   8.20905E+02   9.87235E-05   4.13128E-01   8.80947E-05   4.45607E-05
   8.24688E+02   9.22910E-05   3.49099E-01  -1.99725E-05   9.01040E-05
   8.28471E+02   1.46987E-04   3.84810E-01  -1.46207E-04  -1.51218E-05
   8.32254E+02   1.75373E-04   3.33246E-01  -3.60566E-05  -1.71627E-04
   8.36037E+02   2.23672E-04   3.29378E-01   1.92777E-04  -1.13429E-04
   8.39820E+02   2.60568E-04   3.36929E-01   1.91937E-04   1.76226E-04
   8.43603E+02   2.78568E-04   3.13534E-01  -9.76215E-05   2.60903E-04
   8.47386E+02   3.12372E-04   2.90509E-01  -3.10352E-04   3.54605E-05
   8.51169E+02   3.25597E-04   3.07366E-01  -1.62292E-04  -2.82267E-04
   8.54952E+02   3.45933E-04   3.10106E-01   2.09717E-04  -2.75115E-04
   8.58735E+02   3.59329E-04   2.94352E-01   3.52585E-04   6.92899E-05
   8.62518E+02   3.43866E-04   2.91570E-01   9.29617E-05   3.31062E-04
   8.66301E+02   3.35806E-04   2.91260E-01  -2.47366E-04   2.27103E-04
   8.70084E+02   3.34741E-04   2.83664E-01  -3.16639E-04  -1.08589E-04
   8.73867E+02   3.48220E-04   2.77145E-01  -6.64453E-05  -3.41822E-04
   8.77650E+02   3.46282E-04   2.98425E-01   2.79017E-04  -2.05087E-04
   8.81433E+02   3.41866E-04   2.98102E-01   3.01016E-04   1.62054E-04
   8.85216E+02   3.54552E-04   2.98913E-01  -1.90801E-05   3.54038E-04
   8.88999E+02   3.18621E-04   3.00083E-01  -2.95685E-04   1.18701E-04
   8.92781E+02   2.96048E-04   3.07806E-01  -2.09907E-04  -2.08766E-04
